base_capture_points	base_defense_points	base_xp	battles	big_image	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	frags	hit_rate	image	isPrem	life_time	name	nation	pen_rate	penetrations	player_winrate	player_wn8	potential_damage_received	shots_fired	sniper_damage	spots	spotting_assist	survival	tank_id	tier	tracking_assist	winrate	winrate_differential	wn8	wnx
1.07	0.12	434	390378	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R01_IS.png	HT	835	359	1256	4.5	1082	0.61	67.37	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R01_IS.png	False	265	IS	USSR	64.18	2.89	47.74	950	1629	6.68	90	0.78	192	22.65	513	7	31	48.63	0.89	998	947
0.66	0.17	616	384914	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz14_Skoda_T-56.png	HT	1766	627	1422	5.87	1254	0.99	78.96	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png	True	286	Škoda T 56	Czech	71.89	4.22	51.71	1648	2076	7.44	220	0.99	261	28.31	51057	8	47	53.63	1.92	1750	1827
0.87	0.32	423	382219	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S21_UDES_03.png	TD	1149	16	936	4.52	1124	0.68	65.62	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S21_UDES_03.png	False	330	UDES 03	Sweden	77.52	3.5	48.9	1128	948	6.88	721	0.32	174	32.26	4225	8	39	47.68	-1.22	1117	1044
0.89	0.12	385	377151	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R77_KV2.png	HT	761	249	861	2.56	925	0.82	61.94	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R77_KV2.png	False	271	KV-2	USSR	49.26	1.26	48.63	1064	1092	4.13	104	0.55	133	25.75	10497	6	26	49.45	0.82	1228	1123
0.89	0.35	480	375850	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S10_Strv_103_0_Series.png	TD	1553	312	1136	5.74	1145	0.76	67.17	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S10_Strv_103_0_Series.png	False	349	Strv 103-0	Sweden	74.71	4.29	49.32	1215	1424	8.55	919	0.36	224	36.56	4481	9	57	49.95	0.63	1250	1181
1.21	0.09	478	374078	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G115_Typ_205B.png	HT	1011	1283	1650	4.83	1012	0.55	72.39	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G115_Typ_205B.png	False	298	VK 100.01 P	Germany	56.91	2.75	48.79	1086	2984	6.67	115	0.57	273	27.67	19729	8	34	48.57	-0.22	999	960
0.48	0.18	572	371746	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz17_Vz_55.png	HT	2201	877	2009	6.83	1334	0.77	81.22	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz17_Vz_55.png	False	286	Vz. 55	Czech	68.24	4.66	51.49	1583	2869	8.41	289	1.08	347	26.55	2929	10	78	50.08	-1.41	1575	1518
0.93	0.12	498	369983	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB148_FV227_Conceiver.png	HT	1082	785	1587	6.79	1108	0.58	71.74	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB148_FV227_Conceiver.png	False	281	Conceiver	UK	61.72	4.19	49.08	1189	2396	9.47	119	0.82	249	24.52	23121	8	39	49.22	0.14	1119	1113
0.69	0.14	412	363591	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R47_ISU-152.png	TD	1093	126	1039	2.5	980	0.73	60.77	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R47_ISU-152.png	False	307	ISU-152	USSR	70.32	1.76	48.41	1033	1229	4.12	520	0.29	134	27.66	7425	8	33	46.9	-1.51	972	939
1.04	0.18	501	359095	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A11_T29.png	HT	1060	697	1189	5.6	1080	0.71	72.51	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A11_T29.png	False	281	T29	USA	69.61	3.9	49.21	1198	1869	7.72	126	0.88	237	26.89	3873	7	34	50.54	1.33	1248	1293
0.87	0.14	528	357098	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A12_T32.png	HT	1222	781	1530	6.7	1149	0.65	74.73	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A12_T32.png	False	284	T32	USA	62.66	4.2	49.26	1219	2346	8.96	160	0.89	271	25.98	4385	8	45	50.18	0.92	1311	1311
0.89	0.14	559	352583	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB143_FV229_Contender.png	HT	1585	950	1859	7.1	1167	0.7	75.49	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB143_FV229_Contender.png	False	294	Contender	UK	64.49	4.58	49.78	1327	2816	9.4	169	0.89	302	27.29	23377	9	53	50.39	0.61	1306	1324
1.1	0.12	586	352576	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/japan-J25_Type_4.png	HT	1860	1729	1990	5.28	1071	0.81	76.8	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J25_Type_4.png	False	304	Type 4 H	Japan	65.46	3.45	50.84	1511	3749	6.87	199	0.67	304	31.04	4193	9	46	51.96	1.12	1860	1625
0.52	0.23	544	340259	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S28_UDES_15_16.png	MT	1925	611	1702	6.99	1536	0.79	72.97	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S28_UDES_15_16.png	False	301	UDES 15/16	Sweden	66.78	4.67	50.58	1440	2229	9.58	507	0.99	508	28.84	5505	10	73	50.19	-0.39	1451	1389
0.53	0.16	569	336418	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S16_Kranvagn.png	HT	2100	840	1878	7.97	1228	0.77	79.29	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S16_Kranvagn.png	False	284	Kranvagn	Sweden	63.69	5.08	51.08	1498	2681	10.06	276	1.01	349	25.94	2433	10	70	49.69	-1.39	1556	1456
0.66	0.18	492	336252	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R88_Object268.png	TD	1892	418	1600	3.96	1190	0.78	68.58	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R88_Object268.png	False	321	Obj. 268	USSR	69.94	2.77	49.66	1215	2031	5.78	829	0.43	255	31.98	13569	10	53	50.79	1.13	1248	1325
1	0.2	590	335333	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB152_AT_FV230_Breaker.png	TD	2284	1553	1889	8.06	1116	0.85	76.18	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB152_AT_FV230_Breaker.png	False	322	Breaker	UK	62.49	5.04	51.14	1523	3407	10.59	428	0.59	350	33.74	24401	11	80	51	-0.14	1410	1526
0.43	0.19	450	335090	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F19_Lorraine40t.png	MT	1118	38	1193	5.16	1375	0.72	69.58	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png	True	261	Lorr. 40 t	France	77.36	3.99	48.86	1209	1267	7.42	346	0.82	244	19.28	62529	8	39	45.93	-2.93	1168	1058
0.37	0.16	439	334367	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz24_Vz_64_Blesk.png	LT	724	1	1118	132.97	1414	0.54	56.16	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz24_Vz_64_Blesk.png	False	210	Blesk	Czech	62.96	83.73	49.53	1233	1078	236.77	102	2.04	570	13.59	4721	8	15	47.56	-1.97	1268	1324
